timestamp,value1,value2,hand,gesture
1728496188.0470085,480,565,0,Open
1728496188.0486343,471,569,0,Open
1728496188.05017,475,573,0,Open
1728496188.052255,472,577,0,Open
1728496188.0541494,449,581,0,Open
1728496188.055763,478,585,0,Open
1728496188.057264,480,589,0,Open
1728496188.058859,489,593,0,Open
1728496188.0608485,590,597,0,Open
1728496188.0622723,726,601,0,Open
1728496188.0638878,716,605,0,Open
1728496188.0654664,654,609,0,Open
1728496188.0671265,581,613,0,Open
1728496188.0691593,479,617,0,Open
1728496188.0705452,479,621,0,Open
1728496188.0721154,474,625,0,Open
1728496188.0740666,473,629,0,Open
1728496188.075754,477,633,0,Open
1728496188.0773742,480,637,0,Open
1728496188.0789757,510,640,0,Open
1728496188.080684,593,644,0,Open
1728496188.082736,610,648,0,Open
1728496188.085538,763,652,0,Open
1728496188.088255,677,656,0,Open
1728496188.0902965,602,659,0,Open
1728496188.092343,484,663,0,Open
1728496188.0945122,470,667,0,Open
1728496188.09659,479,671,0,Open
1728496188.0984528,466,674,0,Open
1728496188.1002958,477,678,0,Open
1728496188.1020455,480,682,0,Open
1728496188.103696,480,685,0,Open
1728496188.1053147,551,689,0,Open
1728496188.1073966,598,693,0,Open
1728496188.108999,725,696,0,Open
1728496188.1106365,732,700,0,Open
1728496188.11227,657,703,0,Open
1728496188.1141388,559,707,0,Open
1728496188.115677,479,710,0,Open
1728496188.1172671,474,714,0,Open
1728496188.1191528,476,717,0,Open
1728496188.1210804,462,721,0,Open
1728496188.1227572,466,724,0,Open
1728496188.12437,479,728,0,Open
1728496188.1260135,480,731,0,Open
1728496188.1278546,527,735,0,Open
1728496188.1293013,586,738,0,Open
1728496188.1309164,666,741,0,Open
1728496188.132679,623,745,0,Open
1728496188.1346695,548,748,0,Open
1728496188.1374788,480,751,0,Open
1728496188.139096,467,755,0,Open
1728496188.140631,478,758,0,Open
1728496188.1424644,477,761,0,Open
1728496188.1440196,471,764,0,Open
1728496188.1455283,477,768,0,Open
1728496188.147129,480,771,0,Open
1728496188.149099,480,774,0,Open
1728496188.150507,538,777,0,Open
1728496188.1525905,692,780,0,Open
1728496188.1543283,658,783,0,Open
1728496188.1563003,609,786,0,Open
1728496188.1580086,480,790,0,Open
1728496188.1596608,479,793,0,Open
1728496188.1615703,473,796,0,Open
1728496188.1640587,475,799,0,Open
1728496188.1657455,473,802,0,Open
1728496188.167352,472,805,0,Open
1728496188.168995,479,808,0,Open
1728496188.1706772,486,810,0,Open
1728496188.1722496,607,813,0,Open
1728496188.1740613,598,816,0,Open
1728496188.1754737,774,819,0,Open
1728496188.177049,706,822,0,Open
1728496188.1788402,600,825,0,Open
1728496188.180422,495,828,0,Open
1728496188.1826005,479,830,0,Open
1728496188.185007,478,833,0,Open
1728496188.1862614,461,836,0,Open
1728496188.1879702,475,839,0,Open
1728496188.1897,475,841,0,Open
1728496188.19136,480,844,0,Open
1728496188.1929452,539,847,0,Open
1728496188.19457,596,849,0,Open
1728496188.1964102,749,852,0,Open
1728496188.1979086,739,855,0,Open
1728496188.199487,664,857,0,Open
1728496188.201156,525,860,0,Open
1728496188.2032847,480,862,0,Open
1728496188.2049437,479,865,0,Open
1728496188.206578,479,867,0,Open
1728496188.20817,456,870,0,Open
1728496188.2099392,479,872,0,Open
1728496188.2113757,480,875,0,Open
1728496188.2131033,511,877,0,Open
1728496188.2147105,586,880,0,Open
1728496188.2167032,609,882,0,Open
1728496188.2192087,751,884,0,Open
1728496188.2203171,700,887,0,Open
1728496188.2219656,614,889,0,Open
1728496188.2238286,480,891,0,Open
1728496188.2252352,476,893,0,Open
1728496188.2268653,468,896,0,Open
1728496188.2285435,466,898,0,Open
1728496188.2304752,467,900,0,Open
1728496188.232462,465,902,0,Open
1728496188.2340512,480,904,0,Open
1728496188.2360687,487,907,0,Open
1728496188.2378995,534,909,0,Open
1728496188.239572,642,911,0,Open
1728496188.241181,719,913,0,Open
1728496188.242814,586,915,0,Open
1728496188.2448606,541,917,0,Open
1728496188.2470772,479,919,0,Open
1728496188.2490606,478,921,0,Open
