timestamp,value1,value2
1728496188.445054,535,992
1728496188.4466813,586,992
1728496188.4484189,612,991
1728496188.4500277,759,990
1728496188.4515939,615,990
1728496188.4533005,521,989
1728496188.4550486,479,988
1728496188.4568684,477,987
1728496188.4585245,475,987
1728496188.460126,472,986
1728496188.4617193,468,985
1728496188.46341,479,984
1728496188.465071,480,983
1728496188.466655,480,982
1728496188.4688008,551,981
1728496188.4701676,666,980
1728496188.471876,671,979
1728496188.4735756,573,978
1728496188.47527,531,977
1728496188.4768064,470,976
1728496188.4782603,470,975
1728496188.4797246,475,974
1728496188.4813285,450,973
1728496188.4828358,478,972
1728496188.4849744,479,970
1728496188.4875636,480,969
1728496188.4894993,525,968
1728496188.491069,544,967
1728496188.4924812,712,965
1728496188.493991,599,964
1728496188.4955332,587,963
1728496188.49695,479,961
1728496188.4984953,479,960
1728496188.5000231,470,958
1728496188.5023758,476,957
1728496188.503886,474,956
1728496188.5054288,480,954
1728496188.5069637,480,953
1728496188.5085862,537,951
1728496188.5100427,601,949
1728496188.5115595,726,948
1728496188.5131757,692,946
1728496188.5149794,680,945
1728496188.5164711,562,943
1728496188.5183055,480,941
1728496188.5195632,479,940
1728496188.5211768,479,938
1728496188.5229814,478,936
1728496188.5243635,477,934
1728496188.526494,480,933
1728496188.5282006,523,931
1728496188.529897,582,929
1728496188.5318286,614,927
1728496188.5331779,759,925
1728496188.5347402,685,923
1728496188.5374537,592,921
1728496188.538977,479,919
1728496188.5404603,479,917
1728496188.5419571,478,915
1728496188.5434854,475,913
1728496188.545013,476,911
1728496188.546603,480,909
1728496188.5482194,480,907
1728496188.5498145,531,905
1728496188.5513477,565,903
1728496188.5529544,701,901
1728496188.5546415,674,899
1728496188.556208,589,896
1728496188.5577717,480,894
1728496188.5593293,479,892
1728496188.5609093,475,890
1728496188.562465,479,887
1728496188.564086,454,885
1728496188.565727,476,883
1728496188.567326,480,880
1728496188.5689235,479,878
1728496188.570577,519,876
1728496188.5721319,590,873
1728496188.5737746,658,871
1728496188.5754611,602,868
1728496188.577079,521,866
1728496188.5786548,479,863
1728496188.5802562,476,861
1728496188.5818932,478,858
1728496188.583911,463,856
1728496188.5856256,472,853
1728496188.5884721,480,850
1728496188.5902984,480,848
1728496188.5922003,480,845
1728496188.5938792,537,842
1728496188.5955923,711,840
1728496188.597206,689,837
1728496188.5987878,576,834
1728496188.60034,479,831
1728496188.60201,478,829
1728496188.6037614,479,826
1728496188.6053834,477,823
1728496188.606986,474,820
1728496188.6086645,479,817
1728496188.6102738,479,814
1728496188.6118672,537,811
1728496188.6134236,593,808
1728496188.6150265,638,806
1728496188.6165838,738,803
1728496188.618112,655,800
1728496188.6198165,544,797
