timestamp,hand,gesture
1732732569.7508824,0,Open
1732732569.7838469,0,Open
1732732569.8128674,0,Open
1732732569.8448672,0,Open
1732732569.87685,0,Open
1732732569.9078853,0,Open
1732732569.943869,0,Open
1732732569.984863,0,Open
1732732570.016867,0,Open
1732732570.049864,0,Open
1732732570.0818634,0,Open
1732732570.1118734,0,Open
1732732570.1438632,0,Open
1732732570.175847,0,Open
1732732570.2088633,0,Open
1732732570.2398484,0,Open
1732732570.2688682,0,Open
1732732570.3079035,0,Open
1732732570.3438683,0,Open
1732732570.376849,0,Open
1732732570.4093444,0,Open
1732732570.4403548,0,Open
1732732570.473355,0,Open
1732732570.5023558,0,Open
1732732570.536355,0,Open
1732732570.5683541,0,Open
1732732570.6023667,0,Open
1732732570.6463664,0,Open
1732732570.6773686,0,Open
1732732570.7113552,0,Open
1732732570.7553542,0,Open
1732732570.7873542,0,Open
1732732570.8183541,0,Open
1732732570.8483534,0,Open
1732732570.8823717,0,Open
1732732570.913354,0,Open
1732732570.9443667,0,Open
1732732570.9743552,0,Open
1732732571.007354,0,Open
1732732571.0403543,0,Open
1732732571.0703542,0,Open
1732732571.1003542,0,Open
1732732571.1333547,0,Open
1732732571.162356,0,Open
1732732571.2083702,0,Open
1732732571.244355,0,Open
1732732571.2753546,0,Open
1732732571.3063695,0,Open
1732732571.3373542,0,Open
1732732571.3663547,0,Open
1732732571.401979,0,Open
1732732571.447137,0,Open
1732732571.4781356,0,Open
1732732571.5091212,0,Open
1732732571.5401216,0,Open
1732732571.5731218,0,Open
1732732571.6081223,0,Open
1732732571.6511211,0,Open
1732732571.696121,0,Open
1732732571.728122,0,Open
1732732571.7591221,0,Open
1732732571.7911215,0,Open
1732732571.8221233,0,Open
1732732571.8551214,0,Open
1732732571.8871336,0,Open
1732732571.9181228,0,Open
1732732571.9491374,0,Open
1732732571.9821215,0,Open
1732732572.0291214,0,Open
1732732572.075767,0,Open
1732732572.106772,0,Open
1732732572.1538587,0,Open
1732732572.1848576,0,Open
1732732572.2148733,0,Open
1732732572.248857,0,Open
1732732572.278859,0,Open
1732732572.3148572,0,Open
1732732572.3568568,0,Open
1732732572.3868916,0,Open
1732732572.4198754,0,Open
1732732572.450884,0,Open
1732732572.4828942,0,Open
1732732572.5138783,0,Open
1732732572.5458915,0,Open
1732732572.577859,0,Open
1732732572.6098723,0,Open
1732732572.656859,0,Open
1732732572.6868732,0,Open
1732732572.7198641,0,Open
1732732572.7498837,0,Open
1732732572.7828572,0,Open
1732732572.812879,0,Open
1732732572.8438587,0,Open
1732732572.8772864,0,Open
1732732572.9073114,0,Open
1732732572.938295,0,Open
1732732572.9702945,0,Open
1732732573.001297,0,Open
1732732573.0324264,0,Open
1732732573.0632982,0,Open
1732732573.0954018,0,Open
1732732573.1282928,0,Open
1732732573.15931,0,Open
1732732573.1913466,0,Open
1732732573.2223542,0,Open
1732732573.2523892,0,Open
1732732573.286322,0,Open
1732732573.3183818,0,Open
1732732573.3494263,0,Open
1732732573.3813362,0,Open
1732732573.4134352,0,Open
1732732573.445294,0,Open
1732732573.4762976,0,Open
1732732573.507396,0,Open
1732732573.5383918,0,Open
1732732573.5693903,0,Open
1732732573.602401,0,Open
1732732573.6352935,0,Open
1732732573.672399,0,Open
1732732573.7133868,0,Open
1732732573.743401,0,Open
1732732573.773453,0,Open
1732732573.80643,0,Open
1732732573.8384285,0,Open
1732732573.8704293,0,Open
1732732573.9024282,0,Open
1732732573.932428,0,Open
1732732573.9654298,0,Open
1732732573.9984457,0,Open
1732732574.0284302,0,Open
1732732574.0724282,0,Open
1732732574.1084301,0,Open
1732732574.1424289,0,Open
1732732574.1734476,0,Open
1732732574.2044551,0,Open
1732732574.2354517,0,Open
1732732574.267445,0,Open
1732732574.300447,0,Open
1732732574.3324444,0,Open
1732732574.3644493,0,Open
1732732574.4054294,0,Open
1732732574.4444442,0,Open
1732732574.4724314,0,Open
1732732574.5034285,0,Open
1732732574.535431,0,Open
1732732574.5644305,0,Open
1732732574.5994294,0,Open
1732732574.6434445,0,Open
1732732574.6714308,0,Open
1732732574.7004297,0,Open
1732732574.7284532,0,Open
1732732574.7704468,0,Open
1732732574.8024454,0,Open
1732732574.8324292,0,Open
1732732574.8724296,0,Open
1732732574.9104285,0,Open
1732732574.9424288,0,Open
1732732574.9734592,0,Open
1732732575.0054626,0,Open
1732732575.037447,0,Open
1732732575.0684292,0,Open
1732732575.0994313,0,Open
1732732575.131429,0,Open
1732732575.1634426,0,Open
1732732575.1964617,0,Open
1732732575.2274454,0,Open
1732732575.274018,0,Open
1732732575.307178,0,Open
1732732575.3383017,0,Open
1732732575.368309,0,Open
1732732575.4003458,0,Open
1732732575.431353,0,Open
1732732575.4653342,0,Open
1732732575.509572,0,Open
1732732575.540735,0,Open
1732732575.5719242,0,Open
1732732575.6039045,0,Open
1732732575.6379073,0,Open
1732732575.6689212,0,Open
1732732575.6999207,0,Open
1732732575.7389064,0,Open
1732732575.778936,0,Open
1732732575.8110068,0,Open
1732732575.8440123,0,Open
1732732575.8740108,0,Open
1732732575.9069922,0,Open
1732732575.9390244,0,Open
1732732575.9719918,0,Open
1732732576.0155468,0,Open
1732732576.0485892,0,Open
1732732576.0805917,0,Open
1732732576.112591,0,Open
1732732576.1435888,0,Open
1732732576.1766074,0,Open
1732732576.2086074,0,Open
1732732576.2395687,0,Open
1732732576.2726235,0,Open
1732732576.5050075,0,Open
1732732576.576008,0,Open
1732732576.6100078,0,Open
1732732576.6400082,0,Open
1732732576.6780221,0,Open
1732732576.7100244,0,Open
1732732576.7410066,0,Open
1732732576.7750247,0,Open
1732732576.8060071,0,Open
1732732576.8380604,0,Open
1732732576.884023,0,Open
1732732576.929153,0,Open
1732732576.958047,0,Open
1732732576.9921086,0,Open
1732732577.0240228,0,Open
1732732577.070082,0,Open
1732732577.1291008,0,Open
1732732577.1611016,0,Open
1732732577.195033,0,Open
1732732577.2241058,0,Open
1732732577.2560081,0,Open
1732732577.289107,0,Open
1732732577.3380961,0,Open
1732732577.383115,0,Open
1732732577.4134357,0,Open
1732732577.4425466,0,Open
1732732577.4765196,0,Open
1732732577.5075197,0,Open
1732732577.5375347,0,Open
1732732577.5695186,0,Open
1732732577.6005347,0,Open
1732732577.632543,0,Open
1732732577.6645331,0,Open
1732732577.6955187,0,Open
1732732577.7275188,0,Open
1732732577.7605186,0,Open
1732732577.8015325,0,Open
1732732577.8375437,0,Open
1732732577.8715181,0,Open
1732732577.9045193,0,Open
1732732577.9335194,0,Open
1732732577.9675188,0,Open
1732732578.00752,0,Open
1732732578.0445335,0,Open
1732732578.0755196,0,Open
1732732578.1085186,0,Open
1732732578.1386874,0,Open
1732732578.1698294,0,Open
1732732578.20183,0,Open
1732732578.2478294,0,Open
1732732578.2778301,0,Open
1732732578.312012,0,Open
1732732578.3429806,0,Open
1732732578.3739643,0,Open
